Name,position,All_star_selections,In_Hall_of_fame,height,weight,born
Dick Garmaker,G,4,0,190,90,1932
Alvin Robertson,G,4,0,190,83,1962
Micheal Ray Richardson,G,4,0,196,86,1955
Latrell Sprewell,G,4,0,196,86,1970
Rolando Blackman,G,4,0,198,86,1959
Doug Collins,G,4,0,198,81,1951
Anfernee Hardaway,G,4,0,201,88,1971
Paul Seymour,G,3,0,185,81,1928
Norm Van Lier,G,3,0,185,78,1947
Gilbert Arenas,G,3,0,190,86,1982
Phil Chenier,G,3,0,190,81,1950
Steve Francis,G,3,0,190,88,1977
Deron Williams,G,3,0,190,90,1984
Jeff Mullins,G,3,0,193,86,1942
Dick Van Arsdale,G,3,0,196,95,1943
Richard Hamilton,G,3,0,198,83,1978
Dan Majerle,G,3,0,198,97,1965
Brandon Roy,G,3,0,198,97,1984
Glen Rice,G,3,0,201,97,1967
Kevin Johnson,G,3,0,203,108,1962
Eddie Jones,G,3,0,208,102,1956
Fred Scolari,G,2,0,178,81,1922
Terrell Brandon,G,2,0,180,81,1970
Frankie Brian,G,2,0,185,81,1923
Archie Clark,G,2,0,188,79,1941
Jack George,G,2,0,188,86,1928
Stephon Marbury,G,2,0,188,81,1977
Norm Nixon,G,2,0,188,77,1955
Gus Williams,G,2,0,188,79,1953
Baron Davis,G,2,0,190,94,1979
Fat Lever,G,2,0,190,77,1960
Terry Porter,G,2,0,190,88,1963
Frank Selvy,G,2,0,190,81,1932
Randy Smith,G,2,0,190,81,1948
Andrew Toney,G,2,0,190,80,1957
Jimmy Walker,G,2,0,190,88,1944
Hot Rod Hundley,G,2,0,193,84,1934
Jeff Malone,G,2,0,193,92,1961
Geoff Petrie,G,2,0,193,86,1948
Phil Smith,G,2,0,193,83,1952
Brian Winters,G,2,0,193,83,1952
Jerry Sloan,G,2,0,196,88,1942
Manu Ginobili,G,2,0,198,92,1977
Allan Houston,G,2,0,198,90,1971
Jim Paxson,G,2,0,198,90,1932
Jerry Stackhouse,G,2,0,198,98,1974
Michael Finley,G,2,0,201,97,1973
Reggie Theus,G,2,0,201,86,1957
Eddie Johnson,G,2,0,203,92,1944
Michael Adams,G,1,0,178,73,1963
Ralph Beard,G,1,0,178,79,1927
Dana Barros,G,1,0,180,73,1967
Bill Gabor,G,1,0,180,77,1922
Kenny Anderson,G,1,0,183,76,1970
Mookie Blaylock,G,1,0,183,81,1967
Rickey Green,G,1,0,183,77,1954
Jameer Nelson,G,1,0,183,86,1982
Mark Jackson,G,1,0,185,81,1965
Flynn Robinson,G,1,0,185,83,1941
Adrian Smith,G,1,0,185,81,1936
Don Sunderlage,G,1,0,185,81,1929
Nick Van Exel,G,1,0,185,86,1971
World B. Free,G,1,0,188,84,1953
Jim King,G,1,0,188,79,1941
Richie Regan,G,1,0,188,81,1930
Paul Walther,G,1,0,188,72,1927
Max Zaslofsky,G,1,0,188,77,1925
Butch Beard,G,1,0,190,83,1947
Fred Brown,G,1,0,190,82,1948
Sam Cassell,G,1,0,190,83,1969
Sleepy Floyd,G,1,0,190,77,1960
Devin Harris,G,1,0,190,87,1983
Hersey Hawkins,G,1,0,190,86,1966
Lionel Hollins,G,1,0,190,83,1953
Jeff Hornacek,G,1,0,190,86,1963
Jim Price,G,1,0,190,88,1949
John Starks,G,1,0,190,81,1965
Danny Ainge,G,1,0,193,79,1959
Dick Barnett,G,1,0,193,86,1936
Don Buse,G,1,0,193,86,1950
Austin Carr,G,1,0,193,90,1948
Eddie Miles,G,1,0,193,88,1940
Chuck Noble,G,1,0,193,86,1931
Ricky Pierce,G,1,0,193,92,1959
Doc Rivers,G,1,0,193,83,1961
Jon McGlocklin,G,1,0,196,92,1943
Billy Knight,G,1,0,198,88,1952
Michael Redd,G,1,0,198,99,1979
B.J. Armstrong,G,1,0,201,102,1967
Dale Ellis,G,1,0,201,92,1960
Bob Harrison,G,1,0,201,88,1927
Walt Hazzard,G,1,0,201,102,1942
Kyle Korver,G,1,0,201,96,1981
Reggie Lewis,G,1,0,201,88,1965
Steve Smith,G,1,0,201,90,1969
Mo Williams,G,1,0,203,102,1971
Kareem Abdul-Jabbar,C,19,1,218,102,1947
Shaquille O'Neal,C,15,1,216,147,1972
Wilt Chamberlain,C,13,1,216,124,1936
Moses Malone,C,12,1,208,97,1955
Bill Russell,C,12,1,208,97,1934
Hakeem Olajuwon,C,12,1,213,115,1963
Patrick Ewing,C,11,1,213,108,1962
David Robinson,C,10,1,216,106,1965
Robert Parish,C,9,1,213,104,1953
Yao Ming,C,8,1,229,140,1980
Dave Cowens,C,8,1,206,104,1948
Bob Lanier,C,8,1,211,113,1948
Dikembe Mutombo,C,8,1,218,111,1966
Ed Macauley,C,7,1,203,83,1928
Willis Reed,C,7,1,206,106,1942
Alonzo Mourning,C,7,1,208,108,1970
Jack Sikma,C,7,1,211,104,1955
Nate Thurmond,C,7,1,211,102,1941
Neil Johnston,C,6,1,203,95,1929
Artis Gilmore,C,6,1,218,108,1949
Wes Unseld,C,5,1,201,111,1946
Wayne Embry,C,5,1,203,108,1937
Bob McAdoo,C,5,1,206,95,1951
Clyde Lovellette,C,4,1,206,106,1929
Arnie Risen,C,4,1,206,90,1924
George Mikan,C,4,1,208,111,1924
Walt Bellamy,C,4,1,211,102,1939
Ralph Sampson,C,4,1,224,103,1960
Zelmo Beaty,C,2,1,206,102,1939
Bill Walton,C,2,1,211,95,1952
Nat Clifton,C,1,1,198,99,1922
Dan Issel,C,1,1,206,106,1948
Vlade Divac,C,1,1,216,110,1968
Tim Duncan,F,15,1,211,113,1976
Kevin Garnett,F,15,1,211,108,1976
Karl Malone,F,14,1,206,113,1963
John Havlicek,F,13,1,196,92,1940
Dolph Schayes,F,12,1,203,99,1928
Larry Bird,F,12,1,206,99,1956
Elvin Hayes,F,12,1,206,106,1945
Elgin Baylor,F,11,1,196,102,1934
Charles Barkley,F,11,1,198,114,1963
Julius Erving,F,11,1,201,95,1950
Bob Pettit,F,11,1,206,92,1932
Chris Bosh,F,11,1,211,106,1984
Chris Bosh,F,11,1,211,235,1984
Paul Arizin,F,10,1,193,86,1928
Paul Pierce,F,10,1,201,106,1977
Dominique Wilkins,F,9,1,201,90,1960
Dave DeBusschere,F,8,1,198,99,1940
Rick Barry,F,8,1,201,92,1944
Alex English,F,8,1,201,86,1954
Harry Gallatin,F,7,1,198,95,1927
Chet Walker,F,7,1,198,96,1940
Grant Hill,F,7,1,203,102,1972
Jerry Lucas,F,7,1,203,104,1940
Tracy McGrady,F,7,1,203,95,1979
Scottie Pippen,F,7,1,203,95,1965
James Worthy,F,7,1,206,102,1961
Kevin McHale,F,7,1,208,95,1957
Adrian Dantley,F,6,1,196,94,1956
George Yardley,F,6,1,196,86,1928
Jack Twyman,F,6,1,198,95,1934
Tom Heinsohn,F,6,1,201,98,1934
Bailey Howell,F,6,1,201,95,1937
Vern Mikkelsen,F,6,1,201,104,1928
Cliff Hagan,F,5,1,193,95,1931
Gus Johnson,F,5,1,198,104,1938
Chris Mullin,F,5,1,198,90,1963
Chris Webber,F,5,1,206,111,1973
Jim Pollard,F,4,1,193,83,1922
Billy Cunningham,F,4,1,198,95,1943
Bob Dandridge,F,4,1,198,88,1947
Bernard King,F,4,1,201,92,1956
Connie Hawkins,F,4,1,203,95,1942
Spencer Haywood,F,4,1,203,102,1949
Bobby Jones,F,4,1,206,95,1951
Ben Wallace,F,4,1,206,108,1974
