,player_id,player,fg,fga,x3p,x3pa,x2p,x2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,all_star,roy,smoy,dpoy,mip,mvp,All-League,All-Defense,All-Rookie,Finals MVP,Champion,HOFer
2118,2119,Ennis Whatley,860,1840,3.0,31.0,857,1809,462,615,202.0,491.0,693.0,1777,388.0,45.0,697.0,721,2185,0,0,0,0,0,0,0,0,0,0,0,0
2119,2120,Fred Roberts,2465,4914,52.0,158.0,2413,4756,1547,1936,912.0,1582.0,2494.0,1064,440.0,275.0,1058.0,1713,6529,0,0,0,0,0,0,0,0,0,0,0,0
2120,2121,Granville Waiters,270,589,0.0,5.0,270,584,66,118,183.0,357.0,540.0,121,56.0,185.0,153.0,410,606,0,0,0,0,0,0,0,0,0,0,0,0
2121,2122,Greg Kite,876,2007,1.0,7.0,875,2000,346,714,1081.0,2055.0,3136.0,429,217.0,526.0,680.0,1918,2099,0,0,0,0,0,0,0,0,0,0,2,0
2122,2123,Howard Carter,149,339,5.0,22.0,144,317,48,62,39.0,50.0,89.0,75,20.0,4.0,50.0,85,351,0,0,0,0,0,0,0,0,0,0,0,0
2123,2124,Jeff Malone,7700,15948,98.0,349.0,7602,15599,3181,3662,631.0,1972.0,2603.0,2305,633.0,105.0,1645.0,1843,18679,2,0,0,0,0,0,0,0,5,0,0,0
2124,2125,Jim Thomas,541,1148,9.0,53.0,532,1095,264,346,136.0,282.0,418.0,377,142.0,12.0,210.0,322,1355,0,0,0,0,0,0,0,0,0,0,0,0
2125,2126,John Garris,52,102,0.0,0.0,52,102,27,34,35.0,42.0,77.0,10,8.0,6.0,11.0,40,131,0,0,0,0,0,0,0,0,0,0,0,0
2126,2127,John Paxson,2403,4812,273.0,769.0,2130,4043,481,598,167.0,739.0,906.0,2758,517.0,44.0,651.0,1430,5560,0,0,0,0,0,0,0,0,0,0,3,0
2127,2128,John Pinone,7,13,0.0,0.0,7,13,6,10,0.0,10.0,10.0,3,2.0,1.0,5.0,11,20,0,0,0,0,0,0,0,0,0,0,0,0
2128,2129,Jon Sundvold,1647,3642,226.0,576.0,1421,3066,366,431,132.0,422.0,554.0,1469,220.0,5.0,560.0,601,3886,0,0,0,0,0,0,0,0,0,0,0,0
2129,2130,Ken Austin,6,13,0.0,0.0,6,13,0,0,2.0,1.0,3.0,1,1.0,1.0,3.0,7,12,0,0,0,0,0,0,0,0,0,0,0,0
2130,2131,Kevin Williams,576,1338,3.0,32.0,573,1306,322,402,187.0,239.0,426.0,372,197.0,45.0,306.0,671,1477,0,0,0,0,0,0,0,0,0,0,0,0
2131,2132,Larry Micheaux,231,404,0.0,6.0,231,398,79,125,164.0,235.0,399.0,79,61.0,53.0,93.0,196,541,0,0,0,0,0,0,0,0,0,0,0,0
2132,2133,Leo Rautins,21,60,0.0,0.0,21,60,6,10,10.0,25.0,35.0,32,9.0,2.0,20.0,34,48,0,0,0,0,0,0,0,0,0,0,0,0
2133,2134,Leroy Combs,81,163,0.0,3.0,81,160,56,91,19.0,37.0,56.0,38,23.0,18.0,46.0,49,218,0,0,0,0,0,0,0,0,0,0,0,0
2134,2135,Mark Jones,3,6,0.0,1.0,3,5,1,2,2.0,0.0,2.0,5,0.0,0.0,2.0,2,7,0,0,0,0,0,0,0,0,0,0,0,0
2135,2136,Mark West,2950,5123,0.0,6.0,2950,5117,1416,2489,2040.0,4081.0,6121.0,517,386.0,1599.0,1440.0,3598,7316,0,0,0,0,0,0,0,0,0,0,0,0
2136,2137,Michael Wilson,78,176,0.0,1.0,78,175,59,78,31.0,40.0,71.0,87,30.0,10.0,53.0,67,215,0,0,0,0,0,0,0,0,0,0,0,0
2137,2138,Mike Gibson,41,106,0.0,0.0,41,106,19,28,44.0,62.0,106.0,14,13.0,11.0,20.0,65,101,0,0,0,0,0,0,0,0,0,0,0,0
2138,2139,Mitchell Wiggins,1596,3468,14.0,73.0,1582,3395,671,889,585.0,650.0,1235.0,609,397.0,34.0,453.0,942,3877,0,0,0,0,0,0,0,0,0,0,0,0
2139,2140,Pace Mannion,261,631,16.0,81.0,245,550,130,196,88.0,176.0,264.0,233,110.0,21.0,135.0,243,668,0,0,0,0,0,0,0,0,0,0,1,0
2140,2141,Paul Thompson,757,1774,23.0,111.0,734,1663,290,366,261.0,430.0,691.0,302,197.0,104.0,217.0,479,1827,0,0,0,0,0,0,0,0,0,0,0,0
2141,2142,Ralph Sampson,3223,6694,12.0,69.0,3211,6625,1330,1982,1314.0,3159.0,4473.0,1160,431.0,840.0,1534.0,1754,7788,4,1,0,0,0,0,3,0,5,0,0,1
2142,2143,Randy Breuer,2196,4756,0.0,5.0,2196,4751,929,1471,1215.0,2188.0,3403.0,713,347.0,858.0,772.0,1660,5321,0,0,0,0,0,0,0,0,0,0,0,0
2143,2144,Randy Wittman,1953,3922,20.0,59.0,1933,3863,399,534,213.0,627.0,840.0,1312,280.0,67.0,473.0,602,4325,0,0,0,0,0,0,0,0,0,0,0,0
2144,2145,Rod Foster,631,1434,72.0,242.0,559,1192,228,297,75.0,183.0,258.0,479,137.0,10.0,286.0,441,1562,0,0,0,0,0,0,0,0,0,0,0,0
2145,2146,Rodney McCray,3516,6997,57.0,219.0,3459,6778,1925,2529,1645.0,3442.0,5087.0,2750,585.0,493.0,1419.0,1734,9014,0,0,0,0,0,0,0,8,0,0,1,0
2146,2147,Roy Hinson,3229,6498,0.0,14.0,3229,6484,1926,2583,1215.0,2754.0,3969.0,594,375.0,1022.0,1178.0,2163,8384,0,0,0,0,0,0,0,0,0,0,0,0
2147,2148,Russell Cross,64,112,0.0,0.0,64,112,38,91,35.0,47.0,82.0,22,12.0,7.0,19.0,58,166,0,0,0,0,0,0,0,0,0,0,0,0
2148,2149,Scooter McCray,83,196,0.0,0.0,83,196,58,95,70.0,120.0,190.0,74,21.0,26.0,68.0,114,224,0,0,0,0,0,0,0,0,0,0,0,0
2149,2150,Sedale Threatt,4369,9034,198.0,701.0,4171,8333,1463,1798,420.0,1485.0,1905.0,4032,1272.0,157.0,1448.0,2442,10399,0,0,0,0,0,0,0,0,0,0,0,0
2150,2151,Sidney Green,2027,4475,1.0,29.0,2026,4446,1118,1512,1332.0,2914.0,4246.0,659,375.0,228.0,1058.0,1834,5173,0,0,0,0,0,0,0,0,0,0,0,0
2151,2152,Sidney Lowe,208,567,4.0,31.0,204,536,170,220,85.0,266.0,351.0,799,202.0,9.0,204.0,310,590,0,0,0,0,0,0,0,0,0,0,0,0
2152,2153,Steve Stipanovich,2015,4160,10.0,56.0,2005,4104,1283,1611,771.0,2360.0,3131.0,938,415.0,380.0,777.0,1435,5323,0,0,0,0,0,0,0,0,5,0,0,0
2153,2154,Stewart Granger,123,297,4.0,17.0,119,280,66,89,15.0,63.0,78.0,173,33.0,1.0,91.0,127,316,0,0,0,0,0,0,0,0,0,0,0,0
2154,2155,Thurl Bailey,5121,10892,4.0,37.0,5117,10855,2539,3133,1426.0,3777.0,5203.0,1376,470.0,1203.0,1552.0,2003,12785,0,0,0,0,0,0,0,0,5,0,0,0
2155,2156,Tom Piotrowski,12,26,0.0,0.0,12,26,6,6,6.0,10.0,16.0,5,1.0,3.0,6.0,22,30,0,0,0,0,0,0,0,0,0,0,0,0
2156,2157,Wallace Bryant,149,377,0.0,0.0,149,377,66,115,145.0,282.0,427.0,127,40.0,45.0,80.0,234,364,0,0,0,0,0,0,0,0,0,0,0,0
2157,2158,Alvin Robertson,4659,9784,276.0,922.0,4383,8862,1906,2579,1728.0,2607.0,4335.0,4192,2267.0,341.0,2249.0,2856,11500,4,0,0,1,1,0,3,22,0,0,0,0
2158,2159,Antoine Carr,4019,8007,6.0,53.0,4013,7954,2081,2662,1266.0,2440.0,3706.0,1205,391.0,993.0,1312.0,3310,10125,0,0,0,0,0,0,0,0,0,0,0,0
2159,2160,Bernard Thompson,410,934,0.0,17.0,410,917,258,327,164.0,188.0,352.0,266,127.0,27.0,181.0,391,1078,0,0,0,0,0,0,0,0,0,0,0,0
2160,2161,Butch Graves,2,6,0.0,1.0,2,5,1,5,0.0,2.0,2.0,1,1.0,0.0,1.0,4,5,0,0,0,0,0,0,0,0,0,0,0,0
2161,2162,Charles Barkley,8435,15605,538.0,2020.0,7897,13585,6349,8643,4260.0,8286.0,12546.0,4215,1648.0,888.0,3376.0,3287,23757,11,0,0,0,0,1,41,0,5,0,0,1
2162,2163,Charles Jones,365,740,1.0,9.0,364,731,284,465,269.0,489.0,758.0,206,98.0,108.0,234.0,313,1015,0,0,0,0,0,0,0,0,0,0,0,0
2163,2164,Charlie Sitton,39,94,0.0,2.0,39,92,13,25,24.0,36.0,60.0,26,7.0,6.0,19.0,50,91,0,0,0,0,0,0,0,0,0,0,0,0
2164,2165,Chuck Aleksinas,161,337,0.0,1.0,161,336,55,75,87.0,183.0,270.0,36,15.0,15.0,72.0,171,377,0,0,0,0,0,0,0,0,0,0,0,0
2165,2166,Cory Blackwell,87,237,0.0,2.0,87,235,28,55,42.0,54.0,96.0,26,25.0,3.0,44.0,55,202,0,0,0,0,0,0,0,0,0,0,0,0
2166,2167,Dale Wilkinson,8,32,0.0,2.0,8,30,12,14,2.0,6.0,8.0,4,0.0,0.0,8.0,20,28,0,0,0,0,0,0,0,0,0,0,0,0
2167,2168,Danny Young,1084,2508,217.0,664.0,867,1844,517,618,184.0,600.0,784.0,1846,553.0,41.0,519.0,589,2902,0,0,0,0,0,0,0,0,0,0,0,0
2168,2169,David Pope,26,73,1.0,2.0,25,71,9,17,15.0,14.0,29.0,9,5.0,4.0,9.0,41,62,0,0,0,0,0,0,0,0,0,0,0,0
2169,2170,Devin Durrant,122,295,0.0,3.0,122,292,73,106,51.0,81.0,132.0,85,22.0,10.0,81.0,116,317,0,0,0,0,0,0,0,0,0,0,0,0
2170,2171,Earl Jones,5,13,0.0,0.0,5,13,3,4,4.0,6.0,10.0,4,0.0,1.0,8.0,13,13,0,0,0,0,0,0,0,0,0,0,1,0
2171,2172,Eddie Lee Wilkins,596,1267,0.0,9.0,596,1258,342,606,400.0,602.0,1002.0,62,82.0,60.0,288.0,609,1534,0,0,0,0,0,0,0,0,0,0,0,0
2172,2173,Frank Brickowski,3304,6416,59.0,194.0,3245,6222,1746,2352,1140.0,2790.0,3930.0,1623,744.0,318.0,1585.0,2658,8413,0,0,0,0,0,0,0,0,0,0,1,0
2173,2174,Gary Plummer,198,460,1.0,7.0,197,453,134,187,107.0,200.0,307.0,66,29.0,25.0,128.0,268,531,0,0,0,0,0,0,0,0,0,0,0,0
2174,2175,Guy Williams,31,68,1.0,4.0,30,64,5,11,15.0,18.0,33.0,9,6.0,4.0,8.0,24,68,0,0,0,0,0,0,0,0,0,0,0,0
2175,2176,Hakeem Olajuwon,10749,20991,25.0,124.0,10724,20867,5423,7621,4034.0,9714.0,13748.0,3058,2162.0,3830.0,3667.0,4383,26946,12,0,0,2,0,1,42,37,5,2,2,1
2176,2177,Jay Humphries,3794,7934,224.0,760.0,3570,7174,1663,2138,582.0,1608.0,2190.0,4753,1243.0,94.0,1677.0,2385,9475,0,0,0,0,0,0,0,0,0,0,0,0
2177,2178,Jay Murphy,63,190,0.0,3.0,63,187,34,56,34.0,77.0,111.0,13,8.0,7.0,24.0,59,160,0,0,0,0,0,0,0,0,0,0,0,0
2178,2179,Jeff Turner,1543,3304,73.0,212.0,1470,3092,538,700,621.0,1415.0,2036.0,635,215.0,85.0,687.0,1758,3697,0,0,0,0,0,0,0,0,0,0,0,0
2179,2180,Jerome Kersey,4723,10166,58.0,288.0,4665,9878,2321,3364,2330.0,4009.0,6339.0,2134,1439.0,799.0,1583.0,3455,11825,0,0,0,0,0,0,0,0,0,0,1,0
2180,2181,Jim Petersen,1371,2821,2.0,28.0,1369,2793,653,901,766.0,1588.0,2354.0,487,213.0,363.0,662.0,1354,3397,0,0,0,0,0,0,0,0,0,0,0,0
2181,2182,John Schweitz,25,75,0.0,4.0,25,71,7,10,6.0,16.0,22.0,18,0.0,1.0,16.0,14,57,0,0,0,0,0,0,0,0,0,0,0,0
2182,2183,John Stockton,7039,13658,845.0,2203.0,6194,11455,4788,5796,966.0,3085.0,4051.0,15806,3265.0,315.0,4244.0,3942,19711,10,0,0,0,0,0,31,15,0,0,0,1
